ID Patient, Illness, Patient X, Patient Y, ID Ambulance, Ambulance Specialty, Ambulance X, Ambulance Y, Distance A→P, Availability,Accepted, Hospital ID, Hospital X,Hospital Y,Hospital Specialty,Distance,Chosen Hospital
p1,blood,87,34,a47,brain,81,56,22,true,No,h35,56,37,brain,31,No
p1,blood,87,34,a96,blood,29,39,58,true,No,h47,79,62,blood,29,No
p1,blood,87,34,a51,brain,53,8,42,true,No,h59,31,38,bones,56,No
p1,blood,87,34,a35,bones,79,5,30,true,No,h93,9,89,brain,95,No
p1,blood,87,34,a84,bones,75,31,12,true,No,h11,7,26,brain,80,No
p1,blood,87,34,a60,brain,70,40,18,true,No,h81,64,61,brain,35,No
p1,blood,87,34,a72,blood,69,13,27,true,No,h68,3,85,heart,98,No
p1,blood,87,34,a59,brain,2,44,85,true,No,h56,45,76,blood,59,No
p1,blood,87,34,a23,bones,84,33,3,true,No,h20,86,3,bones,31,No
p1,blood,87,34,a11,bones,64,48,26,true,No,h44,85,39,blood,5,Yes
p1,blood,87,34,a38,brain,71,75,44,true,No,h32,18,10,brain,73,No
p1,blood,87,34,a14,blood,3,97,105,true,No,h90,57,2,bones,43,No
p1,blood,87,34,a26,brain,55,12,38,true,No,h23,36,47,brain,52,No
p1,blood,87,34,a29,heart,14,29,73,true,No,h6,82,96,blood,62,No
p1,blood,87,34,a19,heart,35,60,58,true,No,h89,3,75,bones,93,No
p1,blood,87,34,a16,heart,7,40,80,true,No,h87,50,73,blood,53,No
p1,blood,87,34,a28,brain,7,22,80,true,No,h51,70,13,heart,27,No
p1,blood,87,34,a5,blood,96,5,30,true,No,h75,66,45,heart,23,No
p1,blood,87,34,a36,blood,91,81,47,true,No,h8,37,94,blood,78,No
p1,blood,87,34,a48,heart,42,3,54,true,No,h63,13,53,heart,76,No
p1,blood,87,34,a74,brain,4,34,83,true,No,h53,82,87,brain,53,No
p1,blood,87,34,a62,brain,41,64,54,true,No,h77,31,70,bones,66,No
p1,blood,87,34,a12,bones,28,20,60,true,No,h41,1,93,bones,104,No
p1,blood,87,34,a24,bones,10,4,82,true,No,h65,33,34,blood,54,No
p1,blood,87,34,a86,heart,49,83,62,true,No,h84,43,39,heart,44,No
p1,blood,87,34,a56,brain,62,68,42,true,No,h96,97,45,blood,14,No
p1,blood,87,34,a98,bones,58,37,29,true,No,h60,42,95,blood,75,No
p1,blood,87,34,a90,bones,86,18,16,true,No,h86,100,72,bones,40,No
p1,blood,87,34,a70,blood,90,18,16,true,No,h3,94,17,heart,18,No
p1,blood,87,34,a94,blood,24,60,68,true,No,h72,72,47,blood,19,No
p1,blood,87,34,a50,brain,36,28,51,true,No,h74,97,56,blood,24,No
p1,blood,87,34,a93,brain,33,100,85,true,No,h98,5,53,blood,84,No
p1,blood,87,34,a91,brain,28,41,59,true,No,h13,5,13,blood,84,No
p1,blood,87,34,a82,blood,38,84,70,true,No,h5,74,83,heart,50,No
p1,blood,87,34,a9,blood,45,1,53,true,No,h99,53,69,heart,48,No
p1,blood,87,34,a44,bones,15,46,72,true,No,h37,1,96,blood,106,No
p1,blood,87,34,a68,brain,17,5,75,true,No,h25,21,27,bones,66,No
p1,blood,87,34,a32,bones,22,25,65,true,No,h15,64,15,blood,29,No
p1,blood,87,34,a40,bones,29,90,80,true,No,h9,38,67,heart,59,No
p1,blood,87,34,a17,blood,22,28,65,true,No,h57,32,68,heart,64,No
p1,blood,87,34,a20,brain,90,2,32,true,No,h21,58,96,blood,68,No
p1,blood,87,34,a46,blood,10,36,77,true,No,h69,87,1,brain,33,No
p1,blood,87,34,a81,brain,33,84,73,true,No,h45,59,39,brain,28,No
p1,blood,87,34,a58,heart,74,9,28,true,No,h19,51,17,heart,39,No
p1,blood,87,34,a34,bones,100,28,14,true,No,h49,7,35,brain,80,No
p1,blood,87,34,a22,bones,67,66,37,true,No,h33,89,9,brain,25,No
p1,blood,87,34,a3,bones,58,48,32,true,No,h17,12,72,bones,84,No
p1,blood,87,34,a76,heart,70,68,38,true,No,h27,26,89,heart,82,No
p1,blood,87,34,a64,bones,59,76,50,true,No,h39,86,17,heart,17,No
p1,blood,87,34,a52,brain,59,9,37,true,No,h76,16,64,heart,77,No
p1,blood,87,34,a66,heart,53,6,44,true,No,h7,49,14,blood,42,No
p1,blood,87,34,a54,blood,76,61,29,true,No,h64,45,80,bones,62,No
p1,blood,87,34,a78,heart,15,76,83,true,No,h88,2,12,brain,87,No
p1,blood,87,34,a1,brain,72,84,52,true,No,h52,56,95,heart,68,No
p1,blood,87,34,a42,blood,85,16,18,true,No,h40,12,34,blood,75,No
p1,blood,87,34,a30,blood,36,71,63,true,No,h43,87,70,heart,36,No
p1,blood,87,34,a43,heart,51,54,41,true,No,h31,58,55,brain,35,No
p1,blood,87,34,a31,bones,57,31,30,true,No,h4,24,86,bones,81,No
p1,blood,87,34,a7,heart,27,21,61,true,No,h29,55,14,bones,37,No
p1,blood,87,34,a80,brain,57,40,30,true,No,h92,31,11,heart,60,No
p1,blood,87,34,a92,blood,20,71,76,true,No,h100,84,9,brain,25,No
p1,blood,87,34,a18,heart,100,91,58,true,No,h55,43,20,bones,46,No
p1,blood,87,34,a88,blood,96,85,51,true,No,h67,78,42,heart,12,No
p1,blood,87,34,a10,brain,19,17,70,true,No,h80,73,60,blood,29,No
p1,blood,87,34,a39,brain,49,66,49,true,No,h79,89,97,bones,63,No
p1,blood,87,34,a27,blood,86,20,14,true,Yes,h94,10,87,bones,93,No
p1,blood,87,34,a71,bones,18,37,69,true,No,h82,46,6,heart,49,No
